备注,任务id,任务名称,接任务npcid,交任务npcid,任务完整描述,任务主分类,任务推荐等级,等级限制,任务图标,任务排序,章节ID,是否自动打开窗口,不可接任务对话ID,接任务对话id,已接任务对话id,交任务对话id,任务类型,完成条件key,完成条件count,数值1,数值2,数值3,前置任务id,后续任务id,任务是否可以放弃,不可接任务跟踪文本,任务跟踪可接文本,任务跟踪进行中文本,任务跟踪可交文本,完成任务广播频道,完成任务系统消息ID,奖励铜钱,奖励灵力,奖励威望,奖励经验,奖励物品通用,奖励物品职业1,奖励物品职业2,奖励物品职业3,奖励物品职业4,奖励任务ID,任务是否关闭,开启章节效果ID,自动寻路
,10006,同命相连,600202,600202,找到唐僧，听从唐僧的意见去解救粉衫女子。,1,68,68,,10006,10,,742,493,494,495,1,10005,1,,,,10005,10007,0,请将人物等级提升至68级。,去找{1#600202●孙悟空}接受任务吧,通关{2#10005●窃窃哭声},完成任务，去找{1#600202●孙悟空}吧,,,28710,11484,,13050,,,,,,,,,1
,10007,曲折鬼道,600202,600202,通过曲折路途，走向远处。,1,68,68,,10007,10,,,496,318,497,1,10006,1,,,,10006,10008,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#10006●寒境幽深},完成任务，去找{1#600202●孙悟空}吧,,,28710,11484,,13050,,,,,,,,,1
,10008,白骨,600202,600202,发现所谓的粉衫女子不过是诱骗人心的妖精所化。,1,69,69,,10008,10,,743,498,257,499,1,10007,1,,,,10007,10009,0,请将人物等级提升至69级。,去找{1#600202●孙悟空}接受任务吧,通关{2#10007●鬼影现形},完成任务，去找{1#600202●孙悟空}吧,,,29040,11616,,13200,,,,,,,,,1
,10009,不由分说,600201,600202,孙悟空被唐僧误解并赶走，留下保护唐僧，再想办法解除误会。,1,69,69,,10009,10,,,500,,501,2,,,,,,10008,10010,0,,去找{1#600201●唐三藏}接受任务吧,与{1#600202●孙悟空}对话,完成任务，去找{1#600202●孙悟空}吧,,,2904,1162,,1320,,,,,,,,,1
,10010,终现其形,600201,600201,打败白骨精，使真相大白。,1,69,69,,10010,10,,,502,503,504,1,10008,1,,,,10009,10011,0,请将人物等级提升至70级。,去找{1#600201●唐三藏}接受任务吧,通关{2#10008●白骨夫人},完成任务，去找{1#600201●唐三藏}吧,,,29040,11616,,13200,,,,,,,,,1
,10011,山高路远,600201,600301,唐僧知道误会孙悟空，但西行之路未止，已到车迟国地界。,1,70,70,,10011,10,,744,505,,506,2,,,,,,10010,11001,0,,去找{1#600201●唐三藏}接受任务吧,与{1#600301●唐三藏}对话,完成任务，去找{1#600301●唐三藏}吧,,,2904,1162,,1320,,,,,,,,,1
,11001,计上心来,600301,600301,到达白虎岭，四处探看，猪八戒为唐僧化缘，久去不归。,1,70,70,,11001,11,,,517,254,518,1,11001,1,,,,10011,11002,0,,去找{1#600301●唐三藏}接受任务吧,通关{2#11001●忧心前路},完成任务，去找{1#600301●唐三藏}吧,,,29370,11748,,13350,,,,,,,,,1
,11002,金光宝塔,600301,600303,发现一座宝塔，其中似乎有妖怪踪迹，盘桓一阵，回去时发现唐僧已经不见。,1,70,70,,11002,11,,,519,254,520,1,11002,1,,,,11001,11003,0,,去找{1#600301●唐三藏}接受任务吧,通关{2#11002●一探宝塔},完成任务，去找{1#600303●猪八戒}吧,,,29370,11748,,13350,,,,,,,,,1
,11003,一如所料,600303,600303,发现唐僧果然是被金光宝塔中的妖怪抓走。,1,71,71,,11003,11,,745,521,522,523,1,11003,1,,,,11002,11004,0,请将人物等级提升至71级。,去找{1#600303●猪八戒}接受任务吧,通关{2#11003●相救唐僧},完成任务，去找{1#600303●猪八戒}吧,,,29700,11880,,13500,,,,,,,,,1
,11004,避其锋芒,600303,600303,猪八戒与沙悟净去战妖怪，失败而归，沙悟净被抓。,1,71,71,,11004,11,,,524,525,526,1,11004,1,,,,11003,11005,0,,去找{1#600303●猪八戒}接受任务吧,通关{2#11004●居后掠阵},完成任务，去找{1#600303●猪八戒}吧,,,29700,11880,,13500,,,,,,,,,1
,11005,求请救兵,600303,600303,撵猪八戒去花果山请回孙悟空。,1,72,72,,11005,11,,746,527,,528,2,,,,,,11004,11006,0,请将人物等级提升至72级。,去找{1#600303●猪八戒}接受任务吧,与{1#600303●猪八戒}对话,完成任务，去找{1#600303●猪八戒}吧,,,2970,1188,,1350,,,,,,,,,1
,11006,先援其一,600303,600304,孙悟空不肯回来，与猪八戒商议先救沙悟净。,1,72,72,,11006,11,,,529,525,530,1,11005,1,,,,11005,11007,0,,去找{1#600303●猪八戒}接受任务吧,通关{2#11005●回援沙僧},完成任务，去找{1#600304●沙悟净}吧,,,30030,12012,,13650,,,,,,,,,1
,11007,别无他法,600303,600303,再撵猪八戒去花果山请回孙悟空。,1,72,72,,11007,11,,,531,,532,2,,,,,,11006,11008,0,,去找{1#600303●猪八戒}接受任务吧,与{1#600303●猪八戒}对话,完成任务，去找{1#600303●猪八戒}吧,,,3003,1201,,1365,,,,,,,,,1
,11008,两相协调,600304,600304,偷偷潜入妖窟，确认唐三藏并无危险。,1,72,72,,11008,11,,,533,534,535,1,11006,1,,,,11007,11009,0,,去找{1#600304●沙悟净}接受任务吧,通关{2#11006●殷勤相嘱},完成任务，去找{1#600304●沙悟净}吧,,,30030,12012,,13650,,,,,,,,,1
,11009,默契十足,600302,600301,与孙悟空分头行事，相救唐三藏。,1,73,73,,11009,11,,747,536,257,537,1,11007,1,,,,11008,11010,0,请将人物等级提升至73级。,去找{1#600302●孙悟空}接受任务吧,通关{2#11007●联袂而作},完成任务，去找{1#600301●唐三藏}吧,,,30360,12144,,13800,,,,,,,,,1
,11010,魂归天际,600302,600302,打败黄袍怪，发现其魂灵并未消散，而是归于天际。,1,73,73,,11010,11,,,538,260,539,1,11008,1,,,,11009,11011,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#11008●奎木星宿},完成任务，去找{1#600302●孙悟空}吧,,,30360,12144,,13800,,,,,,,,,1
,11011,和好如初,600301,600301,唐三藏与孙悟空摒弃嫌隙，和好如初。,1,74,74,,11011,11,,748,540,,541,2,,,,,,11010,12001,0,请将人物等级提升至74级。,去找{1#600301●唐三藏}接受任务吧,与{1#600301●唐三藏}对话,完成任务，去找{1#600301●唐三藏}吧,,,3036,1214,,1380,,,,,,,,,1
,12001,山中老者,600301,600307,前遇高山，听到老人吟咏之声，上前打探，得知山中有一伙妖魔。,1,74,74,,12001,12,,,545,,546,2,,,,,,11011,12002,0,,去找{1#600301●唐三藏}接受任务吧,与{1#600307●老人}对话,完成任务，去找{1#600307●老人}吧,,,3036,1214,,1380,,,,,,,,,1
,12002,不畏此难,600301,600301,暗中跟随巡山的八戒，发现他正找地方偷懒。,1,74,74,,12002,12,,,547,297,548,1,12001,1,,,,12001,12003,0,,去找{1#600301●唐三藏}接受任务吧,通关{2#12001●暗随八戒},完成任务，去找{1#600301●唐三藏}吧,,,30690,12276,,13950,,,,,,,,,1
,12003,巡山不归,600301,600301,担心八戒出事，前去寻找，发现其已不见踪影。,1,74,74,,12003,12,,,549,297,550,1,12002,1,,,,12002,12004,0,,去找{1#600301●唐三藏}接受任务吧,通关{2#12002●路寻木母},完成任务，去找{1#600301●唐三藏}吧,,,30690,12276,,13950,,,,,,,,,1
,12004,守护在侧,600302,600304,孙悟空前去探查，自己留在唐三藏身边随身保护。,1,75,75,,12004,12,,749,551,260,552,1,12003,1,,,,12003,12005,0,请将人物等级提升至75级。,去找{1#600302●孙悟空}接受任务吧,通关{2#12003●驱逐群妖},完成任务，去找{1#600304●沙悟净}吧,,,31020,12408,,14100,,,,,,,,,1
,12005,落难之人,600302,600309,孙悟空归来，发现草丛中传来声响，似乎有人受了伤。,1,75,75,,12005,12,,,553,,554,2,,,,,,12004,12006,0,,去找{1#600302●孙悟空}接受任务吧,与{1#600309●土地老儿}对话,完成任务，去找{1#600309●土地老儿}吧,,,3102,1241,,1410,,,,,,,,,1
,12006,泰山之重,600309,600302,营救落难之人，孙悟空怀疑其是妖怪，但不愿违抗唐三藏命令，导致被泰山压住，动弹不得。,1,75,75,,12006,12,,,555,,556,2,,,,,,12005,12007,0,,去找{1#600309●土地老儿}接受任务吧,与{1#600302●孙悟空}对话,完成任务，去找{1#600302●孙悟空}吧,,,3102,1241,,1410,,,,,,,,,1
,12007,洞府何处,600302,600302,听到数个巡山小妖所讲，两个妖怪派小妖携了法宝来对付自己与孙悟空。,1,75,75,,12007,12,,,557,260,558,1,12004,1,,,,12006,12008,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#12004●莲花洞窟},完成任务，去找{1#600302●孙悟空}吧,,,31020,12408,,14100,,,,,,,,,1
,12008,红葫芦,600302,600302,打败精细鬼，得到红葫芦。,1,76,76,,12008,12,,750,559,260,560,1,12005,1,,,,12007,12009,0,请将人物等级提升至76级。,去找{1#600302●孙悟空}接受任务吧,通关{2#12005●斩获法宝},完成任务，去找{1#600302●孙悟空}吧,,,31350,12540,,14250,,,,,,,,,1
,12009,伪作他类,600302,600302,装作精细鬼的样子潜入妖窟失败，将把守洞门的妖怪打败。,1,76,76,,12009,12,,,561,260,562,1,12006,1,,,,12008,12010,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#12006●改装易容},完成任务，去找{1#600302●孙悟空}吧,,,31350,12540,,14250,,,,,,,,,1
,12010,不宜惊动,600302,600302,潜入莲花洞，确认众人的平安。,1,77,77,,12010,12,,751,563,260,564,1,12007,1,,,,12009,12011,0,请将人物等级提升至77级。,去找{1#600302●孙悟空}接受任务吧,通关{2#12007●潜入妖穴},完成任务，去找{1#600302●孙悟空}吧,,,31680,12672,,14400,,,,,,,,,1
,12011,玉净瓶,600302,600302,打败伶俐虫，得到玉净瓶。,1,77,77,,12011,12,,,565,260,566,1,12008,1,,,,12010,12012,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#12008●劫掠净瓶},完成任务，去找{1#600302●孙悟空}吧,,,31680,12672,,14400,,,,,,,,,1
,12012,宝物旁落,600302,600302,听闻金角大王、银角大王还有一件法宝收在旁处。,1,78,78,,12012,12,,752,567,260,568,1,12009,1,,,,12011,12013,0,请将人物等级提升至78级。,去找{1#600302●孙悟空}接受任务吧,通关{2#12009●听风得讯},完成任务，去找{1#600302●孙悟空}吧,,,32010,12804,,14550,,,,,,,,,1
,12013,幌金绳,600302,600302,打败九尾妖狐，抢到幌金绳。,1,78,78,,12013,12,,,569,260,570,1,12010,1,,,,12012,12014,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#12010●杀妖取宝},完成任务，去找{1#600302●孙悟空}吧,,,32010,12804,,14550,,,,,,,,,1
,12014,胸有成竹,600302,600302,进莲花洞一探，试图救出唐三藏。,1,79,79,,12014,12,,753,571,260,572,1,12011,1,,,,12013,12015,0,请将人物等级提升至79级。,去找{1#600302●孙悟空}接受任务吧,通关{2#12011●灭绝群妖},完成任务，去找{1#600302●孙悟空}吧,,,32340,12936,,14700,,,,,,,,,1
,12015,绳锁金身,600302,600302,意图使用幌金绳抓住银角大王，反被法宝束缚，趁妖怪不备偷偷逃出。,1,79,79,,12015,12,,,573,260,574,1,12012,1,,,,12014,12016,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#12012●临危生变},完成任务，去找{1#600302●孙悟空}吧,,,32340,12936,,14700,,,,,,,,,1
,12016,横遭追兵,600302,600302,被小妖追赶，回身解决掉。,1,80,80,,12016,12,,754,575,318,576,1,12013,1,,,,12015,12017,0,请将人物等级提升至80级。,去找{1#600302●孙悟空}接受任务吧,通关{2#12013●扫退追兵},完成任务，去找{1#600302●孙悟空}吧,,,32670,13068,,14850,,,,,,,,,1
,12017,魂化瓶中,600302,600302,趁银角大王力竭失神，将其收入玉净瓶中。,1,80,80,,12017,12,,,577,260,578,1,12014,1,,,,12016,12018,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#12014●智取银角},完成任务，去找{1#600302●孙悟空}吧,,,32670,13068,,14850,,,,,,,,,1
,12018,借机救人,600302,600302,趁金角大王外出寻找银角大王，潜入莲花洞救出众人。,1,81,81,,12018,12,,755,579,260,580,1,12015,1,,,,12017,12019,0,请将人物等级提升至81级。,去找{1#600302●孙悟空}接受任务吧,通关{2#12015●解救唐僧},完成任务，去找{1#600302●孙悟空}吧,,,33000,13200,,15000,,,,,,,,,1
,12019,魂归一处,600301,600301,金角大王生无可恋，与银角大王同化于玉净瓶中。,1,81,81,,12019,12,,,581,254,582,1,12016,1,,,,12018,12020,0,,去找{1#600301●唐三藏}接受任务吧,通关{2#12016●金银同归},完成任务，去找{1#600301●唐三藏}吧,,,33000,13200,,15000,,,,,,,,,1
,12020,整装重发,600303,600302,找到山神救出孙悟空。,1,82,82,,12020,12,,756,583,,584,2,,,,,,12019,13001,0,请将人物等级提升至82级。,去找{1#600303●猪八戒}接受任务吧,与{1#600302●孙悟空}对话,完成任务，去找{1#600302●孙悟空}吧,,,3300,1320,,1500,,,,,,,,,1
,13001,月下谈经,600301,600306,借宿寺中，唐三藏月下感叹，遇到一名云游僧人开解。,1,82,82,,13001,13,,,585,,586,2,,,,,,12020,13002,0,,去找{1#600301●唐三藏}接受任务吧,与{1#600306●云游僧人}对话,完成任务，去找{1#600306●云游僧人}吧,,,3300,1320,,1500,,,,,,,,,1
,13002,经纶在腹,600301,600302,云游僧人不愿现身，与孙悟空讨论此事，发觉夜游神在附近。,1,82,82,,13002,13,,,587,,588,2,,,,,,13001,13003,0,,去找{1#600301●唐三藏}接受任务吧,与{1#600302●孙悟空}对话,完成任务，去找{1#600302●孙悟空}吧,,,3300,1320,,1500,,,,,,,,,1
,13003,惊梦,600301,600301,唐三藏梦到乌鸡国王，听说国王已被妖怪害死，并取而代之。,1,82,82,,13003,13,,,589,,590,2,,,,,,13002,13004,0,,去找{1#600301●唐三藏}接受任务吧,与{1#600301●唐三藏}对话,完成任务，去找{1#600301●唐三藏}吧,,,3300,1320,,1500,,,,,,,,,1
,13004,所梦非梦,600301,600301,去皇城中探查此梦是否真实。,1,82,82,,13004,13,,,591,297,592,1,13001,1,,,,13003,13005,0,,去找{1#600301●唐三藏}接受任务吧,通关{2#13001●皇城谜梦},完成任务，去找{1#600301●唐三藏}吧,,,33330,13332,,15150,,,,,,,,,1
,13005,相助之法,600302,600301,讨论如何相助国王，揭露妖怪的真面目。,1,82,82,,13005,13,,,593,,594,2,,,,,,13004,13006,0,,去找{1#600302●孙悟空}接受任务吧,与{1#600301●唐三藏}对话,完成任务，去找{1#600301●唐三藏}吧,,,3333,1333,,1515,,,,,,,,,1
,13006,扰乱护卫,600302,600303,成功引出太子与唐三藏一谈。,1,82,82,,13006,13,,,595,260,596,1,13002,1,,,,13005,13007,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#13002●扰乱护卫},完成任务，去找{1#600303●猪八戒}吧,,,33330,13332,,15150,,,,,,,,,1
,13007,兵分两路,600303,600303,将护卫们引开。,1,83,83,,13007,13,,757,597,598,599,1,13003,1,,,,13006,13008,0,请将人物等级提升至83级。,去找{1#600303●猪八戒}接受任务吧,通关{2#13003●闲人东引},完成任务，去找{1#600303●猪八戒}吧,,,33660,13464,,15300,,,,,,,,,1
,13008,有理有据,600302,600302,商量将乌鸡国王的尸身从井下取出作为凭证。,1,83,83,,13008,13,,,600,,601,2,,,,,,13007,13009,0,,去找{1#600302●孙悟空}接受任务吧,与{1#600302●孙悟空}对话,完成任务，去找{1#600302●孙悟空}吧,,,3366,1346,,1530,,,,,,,,,1
,13009,寻尸,600302,600303,与猪八戒一同去寻找国王尸身。,1,83,83,,13009,13,,,602,260,603,1,13004,1,,,,13008,13010,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#13004●园内寻尸},完成任务，去找{1#600303●猪八戒}吧,,,33660,13464,,15300,,,,,,,,,1
,13010,花木凋零,600303,600303,与猪八戒一同去寻找国王尸身，但见四处草木凋零，一片狼狈。,1,84,84,,13010,13,,758,604,598,605,1,13005,1,,,,13009,13011,0,请将人物等级提升至84级。,去找{1#600303●猪八戒}接受任务吧,通关{2#13005●四处搜索},完成任务，去找{1#600303●猪八戒}吧,,,33990,13596,,15450,,,,,,,,,1
,13011,芭蕉,600303,600303,在芭蕉下发现石板，掀开石板，正是一口深井。,1,84,84,,13011,13,,,606,525,607,1,13006,1,,,,13010,13012,0,,去找{1#600303●猪八戒}接受任务吧,通关{2#13006●井下玄机},完成任务，去找{1#600303●猪八戒}吧,,,33990,13596,,15450,,,,,,,,,1
,13012,穷追不舍,600303,600303,打败守护的石怪，带回国王尸身。,1,85,85,,13012,13,,759,608,609,610,1,13007,1,,,,13011,13013,0,请将人物等级提升至85级。,去找{1#600303●猪八戒}接受任务吧,通关{2#13007●避而疾走},完成任务，去找{1#600303●猪八戒}吧,,,34320,13728,,15600,,,,,,,,,1
,13013,还魂,600301,610311,向师妹觉因要一枚还魂丹，使乌鸡国国王复生。,1,85,85,,13013,13,,,611,,612,2,,,,,,13012,13014,0,,去找{1#600301●唐三藏}接受任务吧,与{1#610311●觉因}对话,完成任务，去找{1#610311●觉因}吧,,,3432,1373,,1560,,,,,,,,,1
,13014,死而复生,600301,600301,当庭对峙，戳穿妖怪阴谋。,1,85,85,,13014,13,,,613,254,614,1,13008,1,,,,13013,13015,0,,去找{1#600301●唐三藏}接受任务吧,通关{2#13008●打退亲军},完成任务，去找{1#600301●唐三藏}吧,,,34320,13728,,15600,,,,,,,,,1
,13015,避身石阵,600302,600302,追赶妖怪，一路到花园之中。,1,86,86,,13015,13,,760,615,318,616,1,13009,1,,,,13014,13016,0,请将人物等级提升至86级。,去找{1#600302●孙悟空}接受任务吧,通关{2#13009●破石碎阵},完成任务，去找{1#600302●孙悟空}吧,,,34650,13860,,15750,,,,,,,,,1
,13016,青狮道人,600302,600302,追赶妖怪，战胜之后被其趁地势逃脱。,1,86,86,,13016,13,,,617,260,618,1,13010,1,,,,13015,13017,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#13010●青狮道人},完成任务，去找{1#600302●孙悟空}吧,,,34650,13860,,15750,,,,,,,,,1
,13017,去而复返,600302,600302,妖怪无处可逃，向着大殿方向回去了，被石怪拦阻，稍慢一步。,1,87,87,,13017,13,,761,619,318,620,1,13011,1,,,,13016,13018,0,请将人物等级提升至87级。,去找{1#600302●孙悟空}接受任务吧,通关{2#13011●怒杀回殿},完成任务，去找{1#600302●孙悟空}吧,,,34980,13992,,15900,,,,,,,,,1
,13018,孤注一掷,600302,600301,妖怪化身唐僧样貌，识破之后将其战胜。,1,87,87,,13018,13,,,621,341,622,1,13012,1,,,,13017,14001,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#13012●斩妖除魔},完成任务，去找{1#600301●唐三藏}吧,,,34980,13992,,15900,,,,,,,,,1
,14001,红云罩顶,600301,600301,唐三藏忧心前路，众人前去探查，发现有异样妖云。,1,88,88,,14001,14,,762,623,297,624,1,14001,1,,,,13018,14002,0,请将人物等级提升至88级。,去找{1#600301●唐三藏}接受任务吧,通关{2#14001●红云疑窦},完成任务，去找{1#600301●唐三藏}吧,,,35310,14124,,16050,,,,,,,,,1
,14002,避难而过,600301,600301,寻找妖云下的妖怪未果。,1,88,88,,14002,14,,,625,297,626,1,14002,1,,,,14001,14003,0,,去找{1#600301●唐三藏}接受任务吧,通关{2#14002●妖踪何处},完成任务，去找{1#600301●唐三藏}吧,,,35310,14124,,16050,,,,,,,,,1
,14003,劫掠之风,600302,600302,有风吹着烟气而来，烟散时唐三藏已不知所踪。,1,89,89,,14003,14,,763,627,,628,2,,,,,,14002,14004,0,请将人物等级提升至89级。,去找{1#600302●孙悟空}接受任务吧,与{1#600302●孙悟空}对话,完成任务，去找{1#600302●孙悟空}吧,,,3531,1412,,1605,,,,,,,,,1
,14004,各行其道,600302,600302,各寻一个方向去找唐三藏。,1,89,89,,14004,14,,,629,341,630,1,14003,1,,,,14003,14005,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#14003●循向而寻},完成任务，去找{1#600302●孙悟空}吧,,,35640,14256,,16200,,,,,,,,,1
,14005,问路山野,600302,600307,向路遇的老人询问有无妖怪的消息。,1,89,89,,14005,14,,,631,,632,2,,,,,,14004,14006,0,,去找{1#600302●孙悟空}接受任务吧,与{1#600307●老人}对话,完成任务，去找{1#600307●老人}吧,,,3564,1426,,1620,,,,,,,,,1
,14006,枯松涧下,600302,600302,到达枯松涧，四处探查。,1,89,89,,14006,14,,,633,287,634,1,14004,1,,,,14005,14007,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#14004●枯松涧下},完成任务，去找{1#600302●孙悟空}吧,,,35640,14256,,16200,,,,,,,,,1
,14007,烟缭雾绕,600302,600302,确认唐三藏确实被火云洞中的妖怪抓走，与红孩儿一战。,1,90,90,,14007,14,,764,635,331,636,1,14005,1,,,,14006,14008,0,请将人物等级提升至90级。,去找{1#600302●孙悟空}接受任务吧,通关{2#14005●叫阵妖王},完成任务，去找{1#600302●孙悟空}吧,,,35970,14388,,16350,,,,,,,,,1
,14008,求助东海,600302,600304,在孙悟空去东海求助龙王降雨灭火时引开妖怪注意。,1,90,90,,14008,14,,,637,287,638,1,14006,1,,,,14007,14009,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#14006●退避真火},完成任务，去找{1#600304●沙悟净}吧,,,35970,14388,,16350,,,,,,,,,1
,14009,原非凡火,600302,600302,降雨无用，只能另寻他法。,1,91,91,,14009,14,,765,639,318,640,1,14007,1,,,,14008,14010,0,请将人物等级提升至91级。,去找{1#600302●孙悟空}接受任务吧,通关{2#14007●求助龙雨},完成任务，去找{1#600302●孙悟空}吧,,,36300,14520,,16500,,,,,,,,,1
,14010,还需智取,600302,600302,以智取胜，使红孩儿首尾不得兼顾，妖术不得施展。,1,91,91,,14010,14,,,641,331,642,1,14008,1,,,,14009,,0,,去找{1#600302●孙悟空}接受任务吧,通关{2#14008●乘隙得偿},完成任务，去找{1#600302●孙悟空}吧,,,36300,14520,,16500,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
强化装备5,20101,秣马厉兵,600102,600102,打开锻造面板，强化装备五次。,2,28,28,,,2,,,786,772,787,3,2,5,,,,2010,,1,,去找{1#600102●觉因}接受任务吧,{24●强化装备},完成任务，去找{1#600102●觉因}吧,,,404,161,,585,,,,,,,,,
强化装备紫,20112,锦上添花,600102,600102,打开锻造面板，强化一件卓越品质的装备。,2,29,29,,,2,,,835,772,836,3,22,1,,,,20111,,1,,去找{1#600102●觉因}接受任务吧,{24●强化一件卓越品质(紫色)装备},完成任务，去找{1#600102●觉因}吧,,,404,161,,585,,,,,,,,,
竞技场35,30121,小试锋芒,600802,600802,开启竞技场,2,35,35,,,3,,,459,460,461,3,17,1,,,,3012,,1,,去找{1#600802●觉因}接受任务吧,尝试{23●挑战竞技场},完成任务，去找{1#600802●觉因}吧,,,14181,5672,,8700,,,,,,,,,
竞技场40,30211,利刃明光,600210,600210,开启竞技场,2,40,40,,,4,,,459,460,461,3,17,1,,,,4001,,1,,去找{1#600210●觉因}接受任务吧,尝试{23●挑战竞技场},完成任务，去找{1#600210●觉因}吧,,,14181,5672,,8700,,,,,,,,,
竞技场赠送声望,30212,大展宏图,600210,600210,开启竞技场,2,50,50,,,4,,,459,460,461,3,17,3,,,,6001,,1,,去找{1#600210●觉因}接受任务吧,尝试{23●挑战竞技场}三次,完成任务，去找{1#600210●觉因}吧,,,14181,5672,,8700,,,,,,,,,
跨服竞技场,30071,跨服竞技场,600802,600802,开启跨服竞技场,2,33,33,,,3,,,841,460,842,3,21,1,,,,3007,,1,,去找{1#600802●觉因}接受任务吧,尝试{30●挑战跨服竞技场},完成任务，去找{1#600802●觉因}吧,,,1716,686,,780,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
升级技能,201001,招式突破,600102,600102,打开技能面板，提升技能等级。,2,13,13,,,1,,,661,772,662,3,15,1,,,,1006,,1,,去找{1#600102●觉因}接受任务吧,{16●提升技能等级}一次,完成任务，去找{1#600102●觉因}吧,,,766,306,,348,,,,,,,1,,1
获得法宝,201003,获得法宝,600102,600102,与觉因对话，获得法宝。,2,20,20,,,1,,,669,,777,2,,,,,,,,1,,去找{1#600102●觉因}接受任务吧,与{1#600102●觉因}对话,完成任务，去找{1#600102●觉因}吧,,,1030,412,,468,7002004|1,,,,,,1,,1
装备法宝,201004,装备法宝,600102,600102,打开背包面板与法宝面板，装备法宝。,2,20,20,,,1,,,778,772,670,3,8,1,,,,201003,,1,,去找{1#600102●觉因}接受任务吧,打开{19●背包}，装备法宝,完成任务，去找{1#600102●觉因}吧,,,1030,412,,468,,,,,,,1,,1
3011,203001,前后挟击,600801,600801,通关{2#3011●前后挟击}一次。,2,35,35,,,3,,,459,460,461,1,3011,1,,,,3012,,1,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3011●前后挟击}一次,完成任务，去找{1#600801●齐天大圣}吧,,,17490,6996,,7950,,,,,,,,,1
3013,203002,通园小径,600801,600801,通关{2#3013●通园小径}一次。,2,36,36,,,3,,,459,460,461,1,3013,1,,,,3014~203001,,1,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3013●通园小径}一次,完成任务，去找{1#600801●齐天大圣}吧,,,17820,7128,,8100,,,,,,,,,1
3016,203003,突破重围,600801,600801,通关{2#3016●突破重围}一次。,2,37,37,,,3,,,459,460,461,1,3016,1,,,,3017~203002,,1,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3016●突破重围}一次,完成任务，去找{1#600801●齐天大圣}吧,,,18150,7260,,8250,,,,,,,,,1
3017,203004,逃出生天,600801,600801,通关{2#3017●逃出生天}一次。,2,38,38,,,3,,,459,460,461,1,3017,1,,,,3018~203003,,1,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3017●逃出生天}一次,完成任务，去找{1#600801●齐天大圣}吧,,,18480,7392,,8400,,,,,,,,,1
3019,203005,围困之兵,600801,600801,通关{2#3019●围困之兵}一次。,2,39,39,,,3,,,459,460,461,1,3019,1,,,,3020~203004,,1,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3019●围困之兵}一次,完成任务，去找{1#600801●齐天大圣}吧,,,18810,7524,,8550,,,,,,,,,1
4002,204001,五行山下,600207,600207,通关{2#4002●五行山下}二次。,2,40,40,,,4,,,459,460,461,1,4002,2,,,,4003~203005,,1,,去找{1#600207●小女孩}接受任务吧 ,通关{2#4002●五行山下}二次,完成任务，去找{1#600207●小女孩}吧,,,15576,6230,,7080,,,,,,,,,1
4004,204002,双叉横桥,600207,600207,通关{2#4004●双叉横桥}二次。,2,41,41,,,4,,,459,460,461,1,4004,2,,,,4005~204001,,1,,去找{1#600207●小女孩}接受任务吧 ,通关{2#4004●双叉横桥}二次,完成任务，去找{1#600207●小女孩}吧,,,15840,6336,,7200,,,,,,,,,1
4006,204003,横桥尽头,600202,600202,通关{2#4006●横桥尽头}二次。,2,42,42,,,4,,,459,460,461,1,4006,2,,,,4007~204002,,1,,去找{1#600202●孙悟空}接受任务吧 ,通关{2#4006●横桥尽头}二次,完成任务，去找{1#600202●孙悟空}吧,,,16104,6442,,7320,,,,,,,,,1
