S=19 A=1 B=2 C=3 Z=26   资源名+动作名=技能名,技能ID,技能名,描述 0基础伤害 1物攻% 2技攻% 3法攻% ,图标,小图标,类型,CD时间,动作动画,额外数据ID,升级价格,血消耗,元气消耗,无双消耗,战意消耗,法宝消耗,显示用伤害段,伤害1段 类型,伤害1段 数值,伤害2段 类型,伤害2段 数值,伤害3段 类型,伤害3段 数值,伤害4段 类型,伤害4段 数值,伤害5段 类型,伤害5段 数值,伤害6段 类型,伤害6段 数值,伤害7段 类型,伤害7段 数值,伤害8段 类型,伤害8段 数值
,19000417,转转转,猪刚鬣技能2,skillicon/11.png,skillicon/11.png,2,3,17,,,,,,,,0|0~0.5143|0.0171~0|0~0|0,1,0|0~0.5143|0.0171~0|0~0|0,1,0|0~0.5143|0.0171~0|0~0|0,,,,,,,,,,,,
,19000418,吃肉回血,猪刚鬣技能3,skillicon/11.png,skillicon/11.png,2,3,18,,,,,,,,,1,,1,,,,,,,,,,,,,
,19000419,变身猪魔,猪刚鬣技能4,skillicon/11.png,skillicon/11.png,2,3,19,,,,,,,,,1,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19000710,白骨普攻1,白骨普攻1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,19000711,白骨普攻2,白骨普攻2,skillicon/11.png,skillicon/11.png,2,3,11,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
傀儡向前冲,19000716,白骨连爪,驱使傀儡，以骨爪连续多次向前攻击，对敌人造成伤害。,skillicon/4051.png,skillicon/4051_small.png,2,3,16,,,,,,,,0|0~0.6|0.02~0|0~0|0,1,0|0~0.6|0.02~0|0~0|0,1,0|0~0.6|0.02~0|0~0|0,,,,,,,,,,,,
傀儡斜下攻击,19000717,白骨血刺,驱使傀儡，以骨爪向下，以掼地之力刺出，对敌人造成伤害。,skillicon/4052.png,skillicon/4052_small.png,2,3,17,,,,,,,,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,,,,,,,,,,,,
傀儡升龙,19000718,白骨擎虹,驱使傀儡，潜身地下，以螺旋之势破土而出，对敌人造成伤害。,skillicon/4053.png,skillicon/4053_small.png,2,3,18,,,,,,,,0|0~0.6|0.02~0|0~0|0,1,0|0~0.6|0.02~0|0~0|0,1,0|0~0.6|0.02~0|0~0|0,,,,,,,,,,,,
全屏攻击,19000719,白骨生莲,结印，以符咒召唤怨灵，沾血戾爪绽如红莲，对敌人造成伤害。,skillicon/4054.png,skillicon/4054_small.png,2,3,19,,,,,,,,0|0~0.6|0.02~0|0~0|0,1,0|0~0.6|0.02~0|0~0|0,1,0|0~0.6|0.02~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19001110,嫦娥普攻1,嫦娥普攻1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,19001111,嫦娥普攻2,嫦娥普攻2,skillicon/11.png,skillicon/11.png,2,3,11,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
大风车,19001116,戏舞云裳,侧腰旋身，展袖而舞，舞到之处月华倾泻，流照天地，对所及敌人造成伤害。,skillicon/4071.png,skillicon/4071_small.png,2,3,16,,,,,,,,0|0~0.5|0.0167~0|0~0|0,1,0|0~0.5|0.0167~0|0~0|0,1,0|0~0.5|0.0167~0|0~0|0,,,,,,,,,,,,
钻头,19001117,清辉袭人,抛洒星屑，召唤玉兔携势出击，直破敌人所在。,skillicon/4072.png,skillicon/4072_small.png,2,3,17,,,,,,,,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,,,,,,,,,,,,
月亮,19001118,广寒幽月,释放月轮之中所蕴灵力，寒光四溢，凛凛生辉，对周身敌人造成伤害。,skillicon/4073.png,skillicon/4073_small.png,2,3,18,,,,,,,,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,,,,,,,,,,,,
拋袖子,19001119,怀袖流云,美人如斯，捧袖之间袖底流云万千拂过，对敌人造成伤害。,skillicon/4074.png,skillicon/4074_small.png,2,3,19,,,,,,,,0|0~1.14|0.038~0|0~0|0,1,0|0~1.14|0.038~0|0~0|0,1,0|0~1.14|0.038~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000310,青狮道人普攻1,,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,2000311,青狮道人普攻2,,skillicon/11.png,skillicon/11.png,2,3,11,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
向强打,2000316,千钧一击,双手提起武器挥向敌人，势若雷霆，一击而出，对前方敌人造成伤害。,skillicon/4081.png,skillicon/4081_small.png,2,3,16,,,,,,,,0|0~1.14|0.038~0|0~0|0,1,0|0~1.14|0.038~0|0~0|0,1,0|0~1.14|0.038~0|0~0|0,,,,,,,,,,,,
前后乱甩,2000317,力冠群伦,暴怒之下单手持武砸向地面，前后数次，重而迅猛，对周身敌人造成伤害。,skillicon/4082.png,skillicon/4082_small.png,2,3,17,,,,,,,,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1002010,紫霞普攻,镇元子普攻,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
原地连续技,1002016,虚光碎影,轮转宝剑，释出万道光影，璀璨明丽，转瞬即逝，对敌人造成伤害。,skillicon/4091.png,skillicon/4091_small.png,2,3,16,,,,,,,,0|0~0.5727|0.0191~0|0~0|0,1,0|0~0.5727|0.0191~0|0~0|0,1,0|0~0.5727|0.0191~0|0~0|0,,,,,,,,,,,,
瞬移攻击,1002017,剑渡红尘,挥剑，以剑影为掩，莲步暗移，跃至前方拔剑出击，对敌人造成伤害。,skillicon/4092.png,skillicon/4092_small.png,2,3,17,,,,,,,,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,,,,,,,,,,,,
前冲攻击,1002018,乘霞兮,持剑，以剑尖为向，轻点足步，斜刺前方一贯而出，对敌人造成伤害。,skillicon/4093.png,skillicon/4093_small.png,2,3,18,,,,,,,,0|0~0.92|0.0307~0|0~0|0,1,0|0~0.92|0.0307~0|0~0|0,1,0|0~0.92|0.0307~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26000110,天兵1普攻,天兵1普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26000210,天兵2普攻,天兵2普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26000310,天兵3普攻,天兵3普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26000410,天兵4普攻,天兵4普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26000510,鬼卒普攻,狼牙棒鬼卒普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26000610,马面普攻,马面普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26000710,牛头普攻,牛头普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26000810,骷髅怪普攻,骷髅怪普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26000910,双板斧强盗普攻,双板斧强盗普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26001010,长弓恶霸,长弓恶霸,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26001110,长枪刀牛精普攻,长枪刀牛精普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26001210,熊精普攻,熊精普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26001310,蛇精普攻,蛇精普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26001410,八爪鱼普攻,八爪鱼普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26001510,铁叉蝙蝠精普攻,铁叉蝙蝠精普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26001610,猪妖普攻,猪妖普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26001710,道士1普攻,道士1普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26001810,树根怪普攻,树根怪普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26001910,螳螂精普攻,螳螂精普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26002010,狼精普攻,狼精普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26002110,灵童小妖普攻,灵童小妖普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26002210,石怪普攻,石怪普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26002310,长枪虾兵普攻,长枪虾兵普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26002410,双锤鱼精普攻,双锤鱼精普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26002510,蟹将普攻,蟹将普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26002610,毒针蜂普攻,毒针蜂普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26002710,花妖普攻,花妖普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26002810,赤发鬼普攻,赤发鬼普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26002910,吹箭鼠普攻,吹箭鼠普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26003010,长枪虎精普攻,长枪虎精普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26003110,唐刀官兵普攻,唐刀官兵普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26003210,狐妖普攻,狐妖普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26003310,精细鬼普攻,精细鬼普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26003410,伶俐虫普攻,伶俐虫普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26003510,道士2普攻,道士2普攻,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26003710,宝箱怪瞬移1,宝箱怪瞬移1,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26003716,宝箱怪瞬移2,宝箱怪瞬移2,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26003717,宝箱怪瞬移3,宝箱怪瞬移3,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26003718,宝箱怪瞬移4,宝箱怪瞬移4,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,26003719,宝箱怪瞬移5,宝箱怪瞬移5,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3000110,精英猩猩普攻1,精英猩猩普攻1,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,3000116,精英猩猩技能1,精英猩猩技能1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~0.65|0.0135~0|0~0|0,1,0|0~0.65|0.0135~0|0~0|0,1,0|0~0.65|0.0135~0|0~0|0,,,,,,,,,,,,
,3000210,精英刑天普攻1,精英刑天普攻1,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,3000216,精英刑天技能1,精英刑天技能1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~0.8|0.0343~0|0~0|0,1,0|0~0.8|0.0343~0|0~0|0,1,0|0~0.8|0.0343~0|0~0|0,,,,,,,,,,,,
,3000310,精英翼手男普攻1,精英翼手男普攻1,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,3000316,精英翼手男技能1,精英翼手男技能1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~0.75|0.0172~0|0~0|0,1,0|0~0.75|0.0172~0|0~0|0,1,0|0~0.75|0.0172~0|0~0|0,,,,,,,,,,,,
,3000410,精英蝎尾兽普攻1,精英蝎尾兽普攻1,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,3000416,精英蝎尾兽技能1,精英蝎尾兽技能1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~0.7|0.0153~0|0~0|0,1,0|0~0.7|0.0153~0|0~0|0,1,0|0~0.7|0.0153~0|0~0|0,,,,,,,,,,,,
,3000510,精英弓箭手普攻1,精英弓箭手普攻1,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~0.8|0.019~0|0~0|0,1,0|0~0.8|0.019~0|0~0|0,1,0|0~0.8|0.019~0|0~0|0,,,,,,,,,,,,
,3000516,精英弓箭手技能1,精英弓箭手技能1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~0.8|0.019~0|0~0|0,1,0|0~0.8|0.019~0|0~0|0,1,0|0~0.8|0.019~0|0~0|0,,,,,,,,,,,,
,3000610,精英双棍普攻1,精英双棍普攻1,skillicon/11.png,skillicon/11.png,1,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,3000616,精英双棍技能1,精英双棍技能1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~0.65|0.0135~0|0~0|0,1,0|0~0.65|0.0135~0|0~0|0,1,0|0~0.65|0.0135~0|0~0|0,,,,,,,,,,,,
